,name,year,genre,description,director,stars
396,Rang De Basanti,2006,"
Comedy, Crime, Drama            ","The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",Rakeysh Omprakash Mehra,"Aamir Khan ,Soha Ali Khan ,Siddharth"
397,She's the Man,2006,"
Comedy, Romance, Sport            ","When her brother decides to ditch for a couple weeks, Viola heads over to his elite boarding school, disguised as him, and proceeds to fall for his school's star soccer player, and soon learns she's not the only one with romantic troubles.",Andy Fickman,"Amanda Bynes ,Laura Ramsey ,Channing Tatum"
398,Starter for 10,2006,"
Comedy, Drama, Romance            ","Set in 1985, working-class student Brian Jackson (McAvoy) navigates his first year at Bristol University.",Tom Vaughan,"James McAvoy ,Alice Eve ,Rebecca Hall"
399,The Ant Bully,2006,"
Animation, Adventure, Comedy            ","After Lucas Nickle floods an ant colony with his water gun, he's magically shrunken down to insect size and sentenced to hard labor in the ruins.",John A. Davis,"Paul Giamatti ,Nicolas Cage ,Julia Roberts"
400,The Da Vinci Code,2006,"
Mystery, Thriller            ","A murder inside the Louvre, and clues in Da Vinci paintings, lead to the discovery of a religious mystery protected by a secret society for two thousand years, which could shake the foundations of Christianity.",Ron Howard,"Tom Hanks ,Audrey Tautou ,Jean Reno"
401,The Departed,2006,"
Crime, Drama, Thriller            ",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Martin Scorsese,"Leonardo DiCaprio ,Matt Damon ,Jack Nicholson"
402,The Fall,I) (2006,"
Adventure, Drama, Fantasy            ","In 1920s Los Angeles, a bedridden patient in a hospital captivates a young girl with a fantastic tale of heroes, myths, and villains on a desert island.",Tarsem Singh,"Lee Pace ,Catinca Untaru ,Justine Waddell"
403,Toki o kakeru shôjo,2006,"
Animation, Adventure, Comedy            ","A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own.",Mamoru Hosoda,"Riisa Naka ,Takuya Ishida ,Mitsutaka Itakura"
404,The Hills Have Eyes,2006,"
Horror, Thriller            ",A traveling family falls victim to a group of mutated cannibals in a desert far away from civilization.,Alexandre Aja,"Ted Levine ,Kathleen Quinlan ,Dan Byrd"
405,Gwoemul,2006,"
Drama, Horror, Sci-Fi            ",A monster emerges from Seoul's Han River and begins attacking people. One victim's loving family does what it can to rescue her from its clutches.,Bong Joon Ho,"Song Kang-ho ,Byun Hee-Bong ,Park Hae-il"
406,The Illusionist,2006,"
Drama, Fantasy, Mystery            ","In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing.",Neil Burger,"Edward Norton ,Jessica Biel ,Paul Giamatti"
407,The Prestige,2006,"
Drama, Mystery, Sci-Fi            ","After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Christopher Nolan,"Christian Bale ,Hugh Jackman ,Scarlett Johansson"
408,The Pursuit of Happyness,2006,"
Biography, Drama            ",A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career,Gabriele Muccino,"Will Smith ,Thandiwe Newton ,Jaden Smith"
409,Vettaiyaadu Vilaiyaadu,2006,"
Action, Crime, Drama            ","A Police Officer investigates a series of brutal rapes and murders, with the culprits seeming to cover more than one country.",Gautham Vasudev Menon,"Kamal Haasan ,Jyotika ,Prakash Raj"
410,"#73, Shaanthi Nivaasa",2007,"
Drama, Family, Musical            ","Raghu, who enters a dysfunctional family with a hidden intention, brings them closer.",G V Arunkumar,"Ramani Bharadwaj ,Sudeep ,Sudeep"
411,3:10 to Yuma,2007,"
Action, Crime, Drama            ",A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,James Mangold,"Russell Crowe ,Christian Bale ,Ben Foster"
412,1408,2007,"
Fantasy, Horror, Mystery            ","A man who specialises in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.",Mikael Håfström,"John Cusack ,Samuel L. Jackson ,Mary McCormack"
413,Awake,2007,"
Crime, Drama, Mystery            ",A wealthy young man undergoing heart transplant surgery discovers that the surgical team intend to murder him.,Joby Harold,"Hayden Christensen ,Jessica Alba ,Terrence Howard"
414,An American Crime,2007,"
Biography, Crime, Drama            ","The true story of suburban housewife Gertrude Baniszewski, who kept a teenage girl locked in the basement of her Indiana home during the 1960s.",Tommy O'Haver,"Elliot Page ,Hayley McFarland ,Nick Searcy"
415,Beowulf,2007,"
Animation, Action, Adventure            ","The warrior Beowulf must fight and defeat the monster Grendel, who is terrorizing Denmark, then Grendel's Mother, who begins killing out of revenge.",Robert Zemeckis,"Ray Winstone ,Crispin Glover ,Angelina Jolie"
416,Bridge to Terabithia,2007,"
Drama, Family, Fantasy            ",A preteen's life turns upside down when he befriends the new girl in school and they imagine a whole new fantasy world to escape reality.,Gabor Csupo,"Josh Hutcherson ,AnnaSophia Robb ,Zooey Deschanel"
417,Chak De! India,2007,"
Drama, Family, Sport            ","Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds.",Shimit Amin,"Shah Rukh Khan ,Vidya Malvade ,Sagarika Ghatge"
418,Cheluvina Chittara,2007,"
Crime, Drama, Romance            ","A young schoolgirl, Aishwarya, from a rich local don family falls in love and elopes with a small-time mechanic, Maadesha.",S. Narayan,"Ganesh ,Amulya ,Asharani"
419,Dan in Real Life,I) (2007,"
Comedy, Drama, Romance            ",A widower finds out the woman he fell in love with is his brother's girlfriend.,Peter Hedges,"Steve Carell ,Juliette Binoche ,Dane Cook"
420,Disturbia,2007,"
Crime, Drama, Mystery            ","When a teenager is placed under house arrest, he succumbs to despair and starts spying on his neighbors, hoping to spice up his life. This, however, leads him to witness a serial killer on the loose.",D.J. Caruso,"Shia LaBeouf ,David Morse ,Carrie-Anne Moss"
